acp_iso3,year,n_eu_missing
ERI,2013,27
ERI,2014,27
ERI,2015,27
ERI,2016,27
ERI,2017,27
ERI,2018,27
ERI,2019,27
ERI,2020,27
ERI,2021,27
SOM,2013,27
SOM,2014,27
SOM,2015,27
SOM,2016,27
SOM,2017,27
SOM,2018,27
SOM,2019,27
SOM,2020,27
SOM,2021,27
ERI,2012,26
SOM,2007,26
SOM,2008,26
SOM,2009,26
SOM,2010,26
SOM,2011,26
SOM,2012,26
SOM,2004,24
SOM,2005,24
SOM,2006,24
SOM,1995,14
SOM,1996,14
SOM,1997,14
SOM,1998,14
SOM,1999,14
SOM,2000,14
SOM,2001,14
SOM,2002,14
SOM,2003,14
TLS,1995,14
TLS,1996,14
TLS,1997,14
TLS,1998,14
TLS,1999,14
TLS,2000,14
TLS,2001,14
